1 | -988.3415124099771
2 | -979.7451107794487
3 | -966.7935967177357
4 | -969.2125960097545
5 | -991.9593820612952
6 | -976.0563582521039
7 | -984.9529325004838
8 | -974.9596589528553
9 | -920.9333014764089
10 | -979.7275196400564
11 | -966.4733322726345
12 | -981.5864782480464
13 | -990.9190738217426
14 | -981.9168702561993
15 | -990.3583805106763
16 | -987.9779498871659
17 | -950.1320406532006
18 | -960.3470641873054
19 | -962.0861008123169
20 | -984.4307061130337
21 | -989.615376602219
22 | -921.6482253116154
23 | -997.6964773737607
24 | -923.5961682126125
25 | -989.121750661867
26 | -971.1381743720453
27 | -972.4208389826605
28 | -946.2636388992938
29 | -941.1309636559707
30 | -984.3772720795992
31 | -967.5889703539267
32 | -970.1986985685279
33 | -896.5104865112764
34 | -961.9659836122204
35 | -948.1257923867239
36 | -978.4910994224514
37 | -989.6478770185416
38 | -939.0591855908915
39 | -988.0091060765745
40 | -938.81182799246
41 | -947.7122452256243
42 | -966.8763336305483
43 | -973.7037915461298
44 | -993.6118128771744
45 | -990.650981644349
46 | -994.2903549614713
47 | -982.7200023414101
48 | -971.5224323722953
49 | -969.3315408753783
50 | -930.7254178965661
51 | -998.3368652846651
52 | -986.7541226621122
53 | -958.8640768197787
54 | -993.1695784009136
55 | -999.6733168739667
56 | -990.8224885498885
57 | -946.3924031188724
58 | -919.9545856089007
59 | -953.1831931203079
60 | -933.7252149333021
61 | -983.7631554480793
62 | -991.096398006355
63 | -981.9088868403126
64 | -971.470966218821
65 | -958.7975507503543
66 | -993.8292216664059
67 | -999.155024479243
68 | -958.9122574472957
69 | -972.7138124401166
70 | -989.0344043370953
71 | -992.6501950854675
72 | -985.513763211698
73 | -974.2235269429275
74 | -913.1917737113389
75 | -942.250984909325
76 | -993.0698654240578
77 | -996.3066024259197
78 | -976.7648394675314
79 | -925.7131677905776
80 | -979.8946132353708
81 | -961.6965221793271
82 | -963.8721040628332
83 | -963.9872075596725
84 | -988.1974626060488
85 | -969.5059702790379
86 | -928.098556821373
87 | -903.3074808091528
88 | -970.0603723790163
89 | -923.7331654205783
90 | -969.3395031231357
91 | -893.229757779109
92 | -966.6655891464943
93 | -995.1541137292048
94 | -961.7048100784598
95 | -968.0248679160452
96 | -965.0360934259268
97 | -956.7023396364247
98 | -970.885021650722
99 | -956.9426723168011
100 | -974.7811825929365
101 | -996.7126133597095
102 | -999.0585498918724
103 | -994.725584098087
104 | -953.528547216129
105 | -972.5242303996197
106 | -991.5102961182835
107 | -963.7138423791716
108 | -898.9131100768395
109 | -960.8918264188583
110 | -994.1032100974446
111 | -974.0616307276111
112 | -923.8758440053376
113 | -952.9343834781258
114 | -969.0789074112125
115 | -952.6305833994703
116 | -925.2127192959927
117 | -963.2619041941707
118 | -916.4305210812485
119 | -950.214780802773
120 | -992.4014537970419
121 | -979.0246385894545
122 | -982.9149207387628
123 | -981.994003647825
124 | -997.7827404983396
125 | -991.7778705761069
126 | -861.5211999405193
127 | -941.0464250177411
128 | -955.9158278406828
129 | -994.4649273837829
130 | -969.6206174565745
131 | -964.4186711222371
132 | -942.7561248503008
133 | -959.5515834440525
134 | -987.262380083369
135 | -976.3076486365721
136 | -969.2960601180799
137 | -983.2305954366806
138 | -974.7776011223436
139 | -981.4044431090592
140 | -970.9518140746181
141 | -922.7879415699208
142 | -965.018193864301
143 | -968.7149297977429
144 | -975.9245389381589
145 | -966.8573534635802
146 | -935.42302418147
147 | -924.9897852479536
148 | -969.1019971170499
149 | -950.345745690505
150 | -908.7458145725669
151 | -963.2294327664011
152 | -938.1280951638628
153 | -948.7519328814996
154 | -936.5321616267679
155 | -993.1346404509637
156 | -913.6051111935543
157 | -983.5060356798181
158 | -989.2715504845786
159 | -974.4109432048432
160 | -979.3746799287691
161 | -915.0052137169652
162 | -969.220419951846
163 | -959.9896268693391
164 | -918.7490151510179
165 | -997.9718970608213
166 | -977.0218885219348
167 | -964.0182431152872
168 | -914.0989026481693
169 | -914.2410844175987
170 | -954.5495413757487
171 | -968.1224523416823
172 | -966.9071630941609
173 | -965.460588257153
174 | -948.511767687658
175 | -985.4943473731206
176 | -952.446137649596
177 | -950.1643830549745
178 | -994.2333936974198
179 | -908.3251887628205
180 | -970.2947014746483
181 | -984.7040241817466
182 | -983.0764985546941
183 | -979.6931710896728
184 | -968.537992260585
185 | -903.7727730119799
186 | -975.1040930466825
187 | -968.0048934256249
188 | -910.5622349862537
189 | -950.8510812273255
190 | -973.9712852755621
191 | -991.9538695976515
192 | -952.3329423327156
193 | -959.4161282130054
194 | -977.0791719339052
195 | -910.4566797247319
196 | -954.0522508574195
197 | -964.5093209578273
198 | -982.932187991478
199 | -999.2252675197213
200 | -968.7668828751557
201 | -950.2592072711137
202 | -984.2029391311809
203 | -990.9989427696754
204 | -943.2237933961576
205 | -958.1332351961563
206 | -932.3405508630025
207 | -980.7817820191733
208 | -925.528413933788
209 | -969.9342828399477
210 | -961.8269848541049
211 | -961.6562149300414
212 | -988.133724119085
213 | -928.1265978116811
214 | -999.5115739303633
215 | -916.3912045112038
216 | -992.1173158034231
217 | -999.0982719902886
218 | -960.5354773542493
219 | -940.3796482098587
220 | -980.2527731674529
221 | -962.6412785073443
222 | -956.7819395063973
223 | -983.6950552165608
224 | -910.4462994471749
225 | -979.4138844816891
226 | -955.2558350623062
227 | -945.21087750967
228 | -970.3406938281981
229 | -968.3858917244465
230 | -956.9790068684124
231 | -969.3235046671315
232 | -938.7698514264669
233 | -954.7005572939446
234 | -909.9189569680453
235 | -953.107504533202
